room_id,room_name,branch_id,branch_name,room_type,concept,concept_name,capacity,bed_type,area,amenities,description,slot_group_id,operational_status
BT-STD-01,Standard BT01,BT,CozyHome Bến Thành,Standard,Đô thị và văn hóa quốc tế,Đô thị năng động,2,1 giường đôi,22,bàn làm việc vintage|đèn đọc sách cổ điển|máy lạnh|minibar|smart tv|view thành phố|wifi|máy sấy tóc|phòng tắm riêng,"Phòng Standard BT01 mang đậm nét hoài niệm Sài Gòn xưa với đầu giường mây đan mộc mạc và tranh phố cổ tao nhã. Cửa sổ lớn đón trọn nhịp sống sôi động trung tâm Quận 1, kết hợp bàn làm việc gỗ tự nhiên và đèn đọc sách vintage ấm cúng.",N1,Sẵn sàng
BT-STD-02,Standard BT02,BT,CozyHome Bến Thành,Standard,Đô thị và văn hóa quốc tế,Ánh đèn thành phố,2,1 giường đôi,22,bộ ấm trà đạo|đèn ngủ washi|vách kính phòng tắm|bàn làm việc|máy lạnh|minibar|smart tv|view thành phố|wifi,"Phòng Standard BT02 thiết kế theo phong cách Zen & Japandi thanh tịnh với vách gỗ Shoji truyền thống và ánh đèn Washi dịu mắt. Căn phòng sở hữu góc trà đạo tinh tế với bộ ấm chén gốm đen và cửa sổ ngắm toàn cảnh phố thị Bến Thành.",N2,Sẵn sàng
BT-STD-03,Standard BT03,BT,CozyHome Bến Thành,Standard,Đô thị và văn hóa quốc tế,Lãng mạn ban đêm,2,1 giường đôi,22,ban công ngắm phố|gương vòm toàn thân|bàn trang điểm|máy lạnh|minibar|smart tv|wifi|máy sấy tóc|phòng tắm riêng,"Phòng Standard BT03 tái hiện nét lãng mạn nước Pháp với ban công sắt uốn nghệ thuật rợp bóng hoa lá ngắm kiến trúc phố cổ. Không gian trang nhã với tranh Paris, gương vòm toàn thân kiêu kỳ cùng rèm nhung hai lớp đón nắng sớm chan hòa.",N3,Sẵn sàng
BT-STD-04,Standard BT04,BT,CozyHome Bến Thành,Standard,Đô thị và văn hóa quốc tế,Thư giãn giữa lòng phố,2,1 giường đôi,22,máy chiếu phim|sofa thư giãn|tường gạch cổ|bàn làm việc|máy lạnh|minibar|wifi|máy sấy tóc|phòng tắm riêng,"Phòng Standard BT04 sở hữu phong cách New York Industrial cá tính với tường gạch đỏ thô mộc và trần bê tông mài. Căn phòng trang bị máy chiếu phim sắc nét cùng sofa nệm êm ái bên khung cửa sổ thép ngắm nhịp sống đô thị về đêm.",N4,Sẵn sàng
BT-DL-01,Deluxe BT05,BT,CozyHome Bến Thành,Deluxe,Đô thị và văn hóa quốc tế,Đô thị năng động,3,1 giường đôi lớn,28,máy chiếu rạp phim|view landmark 81|sofa cong cao cấp|bồn tắm ngâm|bàn trang điểm|máy lạnh|minibar|wifi|phòng tắm đá cẩm thạch,"Phòng Deluxe BT05 rộng 28m² sang trọng vượt bậc với vách kính panorama bắt trọn view Landmark 81 và Bitexco rực rỡ. Phòng sở hữu sofa cong thời thượng, máy chiếu rạp phim tại gia màn hình lớn và bồn tắm ngâm thư giãn đẳng cấp.",N1,Sẵn sàng
BT-DL-02,Deluxe BT06,BT,CozyHome Bến Thành,Deluxe,Đô thị và văn hóa quốc tế,Ánh đèn thành phố,3,1 giường đôi lớn,28,ghế bành da chesterfield|bồn tắm ngâm|máy pha cà phê|loa bluetooth|smart tv|bàn làm việc gỗ sồi|máy lạnh|minibar|wifi,"Phòng Deluxe BT06 đưa bạn vào không gian quý tộc Anh quốc với gam màu xanh rêu hoàng gia, tranh tháp Big Ben và ghế bành da Chesterfield hảo hạng. Trang bị bồn tắm ngâm thư giãn, máy pha cà phê thơm nồng và loa bluetooth nghe nhạc jazz cổ điển.",N2,Sẵn sàng
BT-DL-03,Deluxe BT07,BT,CozyHome Bến Thành,Deluxe,Đô thị và văn hóa quốc tế,Lãng mạn ban đêm,3,1 giường đôi lớn,28,bồn tắm ngâm|sofa thư giãn góc|bàn mosaic thủ công|smart tv|máy lạnh|minibar|view thành phố|wifi|phòng tắm vòm cong,"Phòng Deluxe BT07 rực rỡ sắc màu Địa Trung Hải với mảng tường đất nung, vòm cong Tây Ban Nha và bàn làm việc ốp gạch gốm mosaic thủ công tinh xảo. Không gian ngọt ngào với bồn tắm ngâm và sofa góc êm ái lý tưởng cho kỳ nghỉ lãng mạn.",N3,Sẵn sàng
BT-FAM-01,Family BT08,BT,CozyHome Bến Thành,Family,Đô thị và văn hóa quốc tế,Thư giãn giữa lòng phố,6,3 giường,40,3 giường ngủ tiện nghi|bếp mini|lò vi sóng|bàn ăn gia đình|sofa bed|smart tv lớn|máy lạnh|minibar|wifi,"Phòng Family BT08 rộng 40m² tiện nghi cho cả gia đình với 3 giường ngủ êm ái (2 giường đôi lớn + 1 sofa bed cao cấp) và mảng tường bản đồ thế giới bằng gỗ 3D ấn tượng. Phòng tích hợp bếp mini nấu ăn tiện lợi, lò vi sóng, bàn ăn tròn thân mật và phòng tắm kính rộng rãi.",N4,Sẵn sàng
TD-STD-01,Standard TD01,TD,CozyHome Thảo Điền,Standard,Cao nguyên và thiên nhiên,Xanh mát thiên nhiên,2,1 giường đôi,22,view vườn cây xanh|cây xanh lọc không khí|bàn làm việc gỗ sồi|smart tv|máy lạnh|minibar|wifi|máy sấy tóc|phòng tắm riêng,"Phòng Standard TD01 ngập tràn hơi thở Bắc Âu với tone màu xanh Sage Green dịu mát và tranh thực vật botanical. Cửa sổ lớn nhìn thẳng tán cây xanh rì rào kết hợp chậu cây thanh lọc không khí, mang lại giấc ngủ thư thái và an yên.",N1,Sẵn sàng
TD-STD-02,Standard TD02,TD,CozyHome Thảo Điền,Standard,Cao nguyên và thiên nhiên,Ấm cúng gia đình,2,1 giường đôi,22,ban công sân vườn|bàn trà ngoài trời|bồn tắm ngâm|gương trang điểm elip|smart tv|máy lạnh|minibar|sàn gỗ xương cá|wifi,"Phòng Standard TD02 sở hữu ban công sân vườn rợp bóng cây xanh với bộ bàn ghế trà ngoài trời cực chill ngắm phố Thảo Điền. Nội thất nổi bật với sàn gỗ xương cá ấm áp, bồn tắm ngâm thư giãn và bàn trang điểm gỗ tự nhiên thanh lịch.",N2,Sẵn sàng
